 ,Mean1,Mean2,Mean3,Mean4,Mean5
71,108.455,105.486,105.786,110.240,105.732
72,108.454,105.560,105.862,109.395,105.642
73,108.548,105.560,105.811,108.762,105.687
74,109.259,105.574,105.754,108.333,105.731
75,115.304,105.542,105.705,108.017,105.620
76,115.174,105.556,105.815,107.877,105.700
77,114.013,105.624,105.764,107.709,105.697
78,112.959,105.578,105.645,107.676,105.649
79,112.004,105.605,105.916,107.610,105.666
80,111.287,105.574,105.768,107.547,105.692
81,110.699,105.619,105.846,107.552,105.674
82,110.211,105.574,105.878,107.481,105.595
83,109.735,105.556,105.783,107.509,105.714
84,109.516,105.628,105.838,107.402,105.650
85,109.194,105.458,105.732,107.405,105.578
86,109.074,105.496,105.761,107.395,105.674
87,109.006,105.561,105.674,107.520,105.649
88,108.892,105.531,105.751,107.433,105.599
89,108.842,105.635,105.865,107.372,105.700
90,108.728,107.978,105.823,107.448,105.665
91,108.680,108.187,105.858,107.416,105.639
92,108.657,107.444,105.916,107.452,105.732
93,108.538,106.921,106.545,107.399,105.628
94,108.522,106.529,108.342,107.374,105.741
95,108.491,106.255,107.863,107.374,105.652
96,108.447,106.066,107.385,107.444,105.653
97,108.411,105.880,106.838,107.400,105.643
98,108.421,105.779,106.558,107.453,105.602
99,108.403,105.650,106.501,107.403,105.687
100,108.405,105.595,106.191,107.404,105.583
101,108.404,105.552,106.141,107.392,105.620
102,108.407,105.582,106.089,107.468,105.642
103,108.400,105.597,105.887,107.454,105.595
104,108.376,105.528,105.776,107.452,105.598
105,108.394,105.509,105.893,107.450,105.591
106,108.390,105.484,105.720,107.416,105.660
107,108.461,105.550,105.862,107.417,105.635
108,108.425,105.515,105.774,107.433,105.685
109,108.491,105.473,105.813,107.437,105.777
110,108.492,105.516,105.725,107.409,105.739
111,108.439,105.519,105.725,107.497,105.725
112,108.475,105.480,105.835,107.459,105.683
113,108.455,105.492,105.710,107.534,105.571
114,108.524,105.498,105.785,107.431,105.637
115,108.579,105.489,105.832,107.404,105.659
116,109.957,105.489,105.702,107.413,106.614
117,115.570,105.508,105.767,107.406,107.162
118,115.065,105.495,105.754,107.519,106.903
119,113.791,105.447,105.616,107.486,106.577
120,112.778,105.491,105.737,107.496,106.396
121,111.982,105.509,105.874,107.454,106.162
122,111.336,105.530,105.816,107.556,106.087
123,110.637,105.514,105.910,107.504,105.998
124,110.129,105.509,105.767,107.443,105.858
125,109.848,105.514,105.798,107.370,105.767
126,109.487,105.541,105.742,107.446,105.697
127,109.300,105.482,105.708,107.393,105.678
128,109.164,105.546,105.790,107.442,105.670
129,108.994,105.476,105.828,107.402,105.673
130,108.884,105.518,105.748,107.385,105.589
131,108.796,105.553,105.767,107.465,105.611
132,108.723,105.496,105.761,107.454,105.662
133,108.728,105.565,105.719,107.481,105.712
134,108.591,105.507,105.789,107.393,105.533
135,108.539,105.517,105.675,107.507,105.590
136,108.456,105.543,105.804,107.438,105.603
137,108.458,105.577,105.703,107.524,105.585
138,108.495,105.522,105.669,107.476,105.610
139,108.439,105.529,105.818,107.375,105.593
140,108.486,105.529,107.322,107.429,105.650
141,108.442,105.525,108.244,107.454,105.605
142,108.500,105.505,107.857,107.406,105.563
143,108.450,105.537,107.126,107.435,105.553
144,108.454,105.530,106.981,107.442,105.730
145,108.449,105.471,106.659,107.439,105.577
146,108.453,105.559,106.350,107.439,105.629
147,108.464,105.522,106.260,107.412,105.607
148,108.435,105.549,105.978,109.337,105.617
149,108.398,105.531,105.792,110.878,105.547
150,108.434,107.614,105.944,109.956,105.570
151,108.479,108.298,105.934,109.178,105.624
152,108.437,107.563,105.795,108.639,105.551
153,108.432,106.962,105.865,108.211,105.573
154,108.470,106.642,105.724,108.057,106.054
155,108.825,106.176,105.734,107.826,107.182
156,115.068,106.022,105.714,107.664,107.011
157,115.366,105.899,105.797,107.527,106.656
158,114.197,105.755,105.732,107.574,106.413
159,113.122,105.729,105.718,107.496,106.242
160,112.114,105.641,105.765,107.410,106.118
161,111.315,105.541,105.755,107.361,105.907
162,110.776,105.548,105.840,107.358,105.842
163,110.343,105.568,105.735,107.409,105.824
164,109.871,105.541,105.776,107.389,105.716
165,109.529,105.423,105.778,107.375,105.662
166,109.292,105.452,105.727,107.266,105.592
167,109.133,105.574,105.681,107.372,105.587
168,109.021,105.581,105.760,107.296,105.586
169,108.914,105.526,105.794,107.436,105.634
170,108.797,105.454,105.761,107.354,105.522
171,108.676,105.519,105.746,107.340,105.551
172,108.593,105.515,106.000,107.340,105.605
173,108.511,105.463,108.157,107.288,105.542
174,108.589,105.485,108.120,107.385,105.555
175,108.597,105.471,107.597,107.316,105.581
176,108.505,105.475,106.940,107.403,105.549
177,108.482,105.428,106.617,107.381,105.600
178,108.325,105.455,106.375,107.255,105.560
179,108.425,105.447,106.231,107.336,105.538
180,108.431,105.466,106.130,107.390,105.541
181,108.425,105.492,106.000,107.416,105.582
182,108.469,105.496,105.845,107.314,105.566
183,108.413,105.529,105.898,107.340,105.597
184,108.409,105.484,105.921,107.362,105.597
185,108.441,105.501,105.905,107.335,105.596
186,108.324,105.428,105.755,107.279,105.529
187,108.427,105.501,105.768,107.421,105.625
188,108.432,105.495,105.846,107.405,105.568
189,108.417,105.492,105.709,107.365,105.637
190,108.470,105.488,105.765,107.411,105.590
191,108.447,105.489,105.767,107.367,105.577
192,108.324,105.474,105.714,107.394,105.553
