 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9
113,111.888,110.362,109.643,108.790,109.358,110.389,109.226,107.780,108.181
114,111.001,109.590,111.578,109.987,108.616,109.592,109.333,107.256,107.782
115,109.875,108.987,112.857,109.801,108.115,112.125,108.596,108.358,107.518
116,109.049,108.451,111.837,108.948,107.680,110.742,109.661,108.561,108.982
117,111.399,108.187,111.073,109.184,107.385,109.597,109.173,107.952,109.177
118,111.234,109.045,110.371,110.244,107.249,111.235,108.563,107.485,108.518
119,110.106,112.208,110.027,109.360,109.131,111.698,110.129,107.726,108.105
120,109.229,111.098,109.577,108.654,109.605,110.111,109.069,108.666,107.724
121,110.880,110.165,109.399,110.104,108.948,109.711,108.865,108.132,107.480
122,111.519,109.432,111.008,109.617,108.203,112.117,109.661,107.585,107.291
123,110.167,108.792,112.503,108.937,107.808,110.812,108.670,107.255,107.628
124,109.331,108.452,111.617,109.262,107.513,109.543,109.317,108.697,109.099
125,110.151,108.102,110.834,110.167,107.227,111.137,109.277,108.274,108.650
126,111.582,109.556,110.276,109.151,107.590,111.230,108.385,107.695,108.043
127,110.394,112.068,109.846,108.707,109.942,110.002,109.769,107.297,107.816
128,109.376,110.996,109.514,110.215,109.220,109.891,108.994,108.248,107.441
129,109.598,110.032,109.338,109.673,108.564,112.098,108.659,108.583,108.761
130,111.901,109.346,112.293,109.005,108.097,110.588,109.775,108.024,109.097
131,110.681,108.801,112.303,109.442,107.598,109.610,108.908,107.551,108.585
132,109.634,108.375,111.456,110.081,107.358,111.469,108.888,107.507,108.115
133,109.111,108.107,110.734,109.219,107.235,111.484,109.583,108.740,107.744
134,111.994,109.276,110.215,108.848,108.187,110.142,108.720,108.282,107.505
135,110.966,112.055,109.833,110.307,109.905,109.742,109.307,107.664,108.563
136,109.838,111.105,109.546,109.711,109.133,112.099,109.292,107.285,109.251
137,109.129,110.115,110.254,109.038,108.483,110.889,108.438,108.531,108.698
138,111.341,109.374,112.682,109.429,107.859,109.603,109.741,108.514,108.212
139,111.345,108.891,112.032,110.140,107.658,111.497,109.199,107.923,107.855
140,110.165,108.410,111.222,109.259,107.352,111.581,108.595,107.437,107.566
141,109.250,108.079,110.393,108.723,107.242,110.289,109.984,107.802,107.308
142,110.521,108.930,109.991,110.288,109.483,109.756,109.058,108.705,107.272
143,111.752,112.143,109.707,109.747,109.599,112.254,109.015,108.217,107.115
144,110.435,111.257,109.490,108.984,108.895,110.927,109.696,107.657,108.688
145,109.471,110.338,109.345,109.441,108.268,109.618,108.729,107.299,108.861
146,109.838,109.563,112.333,110.175,107.812,110.989,109.278,108.678,108.368
147,111.925,108.870,112.220,109.340,107.432,111.423,109.328,108.429,108.014
148,110.619,108.540,111.399,108.800,107.392,110.295,108.585,107.850,107.669
149,109.638,108.214,110.744,110.235,107.658,109.497,109.665,107.406,107.702
150,109.247,109.016,110.211,109.756,110.132,112.267,109.193,108.005,109.378
151,112.048,112.158,109.782,109.066,109.447,111.015,108.514,108.645,109.005
152,110.913,111.188,109.493,109.250,108.529,109.668,109.903,108.055,108.424
153,109.902,110.327,110.109,110.257,108.105,111.026,109.021,107.609,108.009
154,109.121,109.491,112.937,109.377,107.651,111.914,108.694,107.299,107.682
155,111.804,108.931,112.186,108.822,107.472,110.416,109.718,108.764,107.411
156,111.364,108.500,111.272,110.178,107.232,109.458,108.941,108.444,107.353
157,110.131,108.164,110.653,109.850,108.605,112.253,109.110,107.876,109.146
