 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12
154,111.351,113.692,111.897,109.955,109.640,109.742,107.512,109.205,108.309,108.298,106.549,107.856
155,110.601,112.389,111.127,109.486,108.759,109.950,107.083,108.857,108.839,107.740,106.211,108.014
156,109.887,111.373,110.480,109.311,107.990,110.308,106.764,108.514,108.382,107.340,106.828,109.438
157,109.544,112.881,110.021,108.893,107.260,110.020,106.529,108.386,107.779,106.890,108.208,108.803
158,111.684,113.890,109.651,111.275,106.942,109.892,106.464,111.556,107.523,106.731,107.608,108.433
159,114.430,112.661,109.444,111.141,106.554,109.644,106.376,111.407,107.226,107.110,107.012,107.997
160,112.455,111.561,109.223,110.479,106.225,110.389,106.244,110.540,107.027,108.647,106.474,107.743
161,111.387,112.210,112.569,109.977,106.173,110.290,106.415,109.877,106.860,108.078,106.281,108.684
162,110.550,114.137,112.590,109.603,108.464,110.151,108.010,109.374,106.780,107.599,106.425,109.213
163,109.976,112.911,111.764,109.271,109.886,109.853,107.730,109.026,106.989,107.269,108.378,108.809
164,109.585,111.867,111.052,109.109,109.186,109.646,107.330,108.721,108.695,106.913,107.733,108.330
165,111.916,111.496,110.370,110.704,108.358,110.429,106.976,108.671,108.329,106.671,107.068,107.919
166,114.462,114.269,109.960,111.300,107.624,110.130,106.728,111.814,107.882,107.427,106.629,107.610
167,112.706,113.149,109.557,110.632,107.134,110.084,106.516,111.362,107.469,108.629,106.291,108.979
168,111.392,112.045,109.391,110.239,106.722,109.765,106.396,110.589,107.245,108.045,106.146,109.087
169,110.581,111.140,109.535,109.716,106.461,110.027,106.318,109.894,107.026,107.509,108.199,108.562
170,109.954,113.856,112.954,109.279,106.151,110.413,106.275,109.338,106.848,107.191,107.899,108.219
171,109.617,113.444,112.462,109.224,106.466,110.037,106.308,108.996,106.703,106.772,107.261,107.945
172,111.791,112.228,111.616,109.958,109.959,109.941,106.169,108.620,106.612,106.557,106.704,107.683
173,114.304,111.354,110.846,111.406,109.640,109.559,107.552,108.428,107.233,107.665,106.328,109.494
174,112.550,112.951,110.329,110.840,108.721,110.155,107.852,108.641,108.609,108.569,106.012,108.982
175,111.179,113.755,109.881,110.242,107.895,110.192,107.291,111.902,108.124,107.909,107.954,108.414
176,110.481,112.575,109.555,109.941,107.287,110.130,107.011,111.178,107.744,107.506,107.932,108.102
177,110.021,111.555,110.371,109.401,106.910,109.821,106.728,110.269,107.386,107.126,107.300,107.791
178,109.616,112.019,113.414,109.110,106.491,109.662,106.558,109.748,107.149,106.800,106.801,108.073
179,112.144,114.018,112.539,109.201,106.285,110.444,106.358,109.181,106.857,106.584,106.347,109.394
180,114.239,112.919,111.789,111.324,106.135,110.135,106.340,108.947,108.543,108.341,106.139,108.863
181,112.442,111.811,111.022,111.132,108.728,110.118,106.298,108.558,108.701,108.478,107.539,108.442
182,111.212,111.358,110.403,110.504,109.808,109.734,106.432,108.525,108.136,107.942,108.082,108.008
183,110.565,114.116,109.917,109.989,109.104,109.755,108.014,111.360,107.714,107.455,107.420,107.698
184,109.999,113.249,109.698,109.588,108.219,110.387,107.675,111.509,107.365,107.127,106.865,108.467
185,109.645,112.045,109.319,109.108,107.570,110.079,107.200,110.590,107.090,106.711,106.445,109.336
186,111.914,111.179,109.170,108.825,107.066,109.960,106.921,109.954,108.314,106.647,106.108,108.704
187,114.403,113.746,112.644,110.904,106.623,109.607,106.721,109.437,108.925,108.586,107.010,108.445
188,112.474,113.477,112.802,111.142,106.349,110.133,106.461,108.923,108.280,108.424,108.204,107.896
189,111.277,112.433,111.952,110.682,106.152,110.358,106.444,108.680,107.895,107.753,107.526,107.664
190,110.551,111.433,111.188,110.168,107.312,110.194,106.271,110.127,107.452,107.396,106.962,109.033
191,109.905,112.656,110.525,109.763,110.124,109.877,106.260,111.931,107.217,106.991,106.547,109.143
192,109.601,114.015,110.108,109.218,109.403,109.553,107.678,111.066,107.151,106.704,106.210,108.688
